Category,SrNo,Title,Link,Type,Description
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",52,Coordinator – International Workshop on 'Urban and City Design Curriculum Development' (EU funded Asia Link Programme),,Workshop Coordination,"CEPT, Ahmedabad, Jan 12-15, 2005."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",53,Exhibition of Work and Presentation – 'Rain water Harvesting and Urban Lakes',,Exhibition / Presentation,"Centre for Environment Education (CEE), Ahmedabad, Jan 28-29."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",54,Poster and Presentation – 'Re-densification of Sector 22 Chandigarh',,Poster / Presentation,"International Convention on 'Chandigarh, Celebrating its 50 years'. Chandigarh University, Jan 1999."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",55,"Paper Presentation (with G Baviskar) – 1. Social Dilemmas in Public Participation in Urban Lake Management: A case of Thaltej Lakes in Ahmedabad, India; 2. Governing Principles of Inter-District Transboundary Lake Basin Management of Upper Godavari, Maharashtra, India",,Paper Presentation,"18th World Lake Conference (WLC18). Guanajuato, Mexico, November 2021."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",56,"Paper Presentation (with G Baviskar) – Social Dilemmas in Urban Lake Management: A case of Thaltej Lakes in Ahmedabad, India",,Paper Presentation,"Panel: Collective Action in Water Governance. XVIII Biennial IASC-Conference 'Our Commons Future: Water Commons'. Tempe Arizona, May 19-20, 2021."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",57,"Panel Coordinator – 5 Papers in Panel: Planning, Politics, People, and Pace in Urban India (incl. Dedevelopment as a new direction to Planning – Mansee Bal Bhargava)",,Panel Coordination,"XVIII Biennial IASC-Conference 'Our Commons Future: Urban Commons'. Tempe Arizona, May 6-8, 2021."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",58,Paper Presentation – Pedagogical Framework for Water Education in Planning and Architecture Disciplines,,Paper Presentation,"Hydronationality in South Asia. Colombo, Sri Lanka, January 11-12, 2021."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",59,Panel Discussion – Time for De-Development,,Panel Discussion,"Conference on Architecture Through Repurpose, Aditya College of Architecture, December 12, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",60,Women in Green Politics,,Talk / Participation,"India Greens Party, November 02, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",61,Panel Discussion – Gandhi's Idea of Sustainability,,Panel Discussion,"Inaugural Series of Philosophers take on Sustainable Habitat. Indian Institute of Town Planners, Rajasthan Chapter, October 2, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",62,"Panel Presentation – Rivers, Problems and Solutions",,Panel Presentation,"India Greens Party, September 27, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",63,"Paper Presentation (with G Baviskar) – People's Participation in Water Share of Upper Godavari Basin, Maharashtra, India",,Paper Presentation,"URP2020: Sustainable & Resilient Urban-Rural Partnerships. Leipzig, Germany, November 26-27, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",64,Paper Presentation (with G Baviskar) – Social-ecological Pattern Language of Urban Lake Conservation and Management in India,,Paper Presentation,"Kyoto 2020: IASC-RIHN Online Workshop on Commons, Post-Development and Degrowth in Asia. Kyoto, Japan, July 20-22, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",65,Workshop Presenter – Engaging Cities (Water and Open Space Components),,Workshop,"Hosted by Auroville Integral Sustainability Institute. Online, July 6-16, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",66,Workshop Coordinator (with Sara Ahmed) – Pedagogy of Waterscape towards Sustainable Development,,Workshop Coordination,"One-Day Workshop (45 Participants). Funded by USIEF-India Foundation, Mumbai. AMA Ahmedabad, Feb 02, 2020."
